timestamp,lat,lon,heading,speed,target_idx,distance,cte
1741787526.110896,34.15196298833333,-77.866907355,294.38324586305686,0.0022222222222222222,1,0.00014283630296453795,0.0
1741787527.1334481,34.15196298833333,-77.866907355,294.38324586305686,0.0022222222222222222,1,0.00014283630296453795,0.0
1741787528.1549668,34.151962866666665,-77.86690735833334,293.68676417750896,0.008055555555555555,1,0.00014295308500805346,0.0
1741787529.1908941,34.151962813333334,-77.86690736833333,293.36176018432656,0.002777777777777778,1,0.00014300210142873185,0.0
1741787530.2271357,34.15196276333333,-77.86690733333333,293.1462541787829,0.01916666666666667,1,0.00014305937673729318,0.0
1741787531.2478266,34.15196276,-77.86690735,294.0451187676506,0.018333333333333333,1,0.0001430583470047517,0.0
1741787532.2683184,34.15196276,-77.86690735,294.39887398600615,0.018333333333333333,1,0.0001430583470047517,0.0
1741787533.2923682,34.15196270166667,-77.866907375,294.01046118984556,0.01888888888888889,1,0.00014310837796284112,0.0
1741787534.3132055,34.15196267666666,-77.86690740666667,294.15471991638833,0.004166666666666667,1,0.00014312448732498327,0.0
1741787535.3340971,34.15196264666667,-77.86690745666667,293.87299417416796,0.011666666666666667,1,0.00014314078013495272,0.0
1741787536.3581069,34.15196264666667,-77.86690745666667,293.87299417416796,0.011666666666666667,1,0.00014314078013495272,0.0
1741787537.381407,34.151962615,-77.866907475,293.6498449793595,0.015833333333333335,1,0.00014316674822781634,0.0
