timestamp,device,lat,lon,alt,heading,speed,fix_mode,satellites_used,satellites_visible,hdop,vdop,pdop,eph,epv
2025-03-16 13:29:41,base,34.151931167,-77.866755833,0,0.0,0.022,DGPS,30,35,1.28,2.09,2.45,6.08,12.017
2025-03-16 13:29:42,base,34.1519324,-77.8667561,0,0.0,0.019,DGPS,17,24,0.7,1.07,1.28,1.216,2.063
2025-03-16 13:29:43,base,34.1519723,-77.8668002,0,0.0,0.01,3D FIX,0,0,0.0,0.0,0.0,3.033,5.098
2025-03-16 13:29:44,base,34.1519715,-77.8667996,0,0.0,0.02,3D FIX,0,0,0.0,0.0,0.0,3.016,5.068
2025-03-16 13:29:45,base,34.1519703,-77.8667993,0,0.0,0.145,3D FIX,0,0,0.0,0.0,0.0,2.981,5.018
2025-03-16 13:29:46,base,34.1519691,-77.8668007,0,0.0,0.159,3D FIX,0,0,0.0,0.0,0.0,2.915,4.997
2025-03-16 13:29:47,base,34.1519683,-77.8668027,0,0.0,0.273,3D FIX,0,0,0.0,0.0,0.0,2.889,5.014
2025-03-16 13:29:48,base,34.1519672,-77.8668054,0,0.0,0.25,3D FIX,0,0,0.0,0.0,0.0,2.869,5.033
2025-03-16 13:29:49,base,34.1519696,-77.866808,0,0.0,0.316,3D FIX,0,0,0.0,0.0,0.0,2.853,5.035
2025-03-16 13:29:50,base,34.1519728,-77.8668111,0,276.7011,0.376,3D FIX,0,0,0.0,0.0,0.0,2.74,4.952
2025-03-16 13:29:51,base,34.1519738,-77.8668154,0,285.4785,0.279,3D FIX,0,0,0.0,0.0,0.0,2.681,4.831
2025-03-16 13:29:52,base,34.1519725,-77.8668183,0,284.0766,0.311,3D FIX,0,0,0.0,0.0,0.0,2.607,4.702
2025-03-16 13:29:53,base,34.1519698,-77.8668208,0,286.5847,0.322,3D FIX,0,0,0.0,0.0,0.0,2.528,4.64
2025-03-16 13:29:54,rover,34.1519427,-77.866784,0,288.1217,0.286,RTK_FLOAT,19,26,0.68,1.0,1.21,0.888,1.65
2025-03-16 13:29:54,base,34.15197,-77.8668245,0,278.2952,0.28,3D FIX,0,0,0.0,0.0,0.0,2.47,4.581
2025-03-16 13:29:55,rover,34.1519427,-77.866784,0,288.1217,0.286,RTK_FLOAT,19,26,0.68,1.0,1.21,0.888,1.65
2025-03-16 13:29:55,base,34.1519697,-77.8668282,0,286.3137,0.331,3D FIX,0,0,0.0,0.0,0.0,2.436,4.515
2025-03-16 13:29:56,rover,34.1519431,-77.8667933,0,282.3937,0.347,RTK_FLOAT,19,26,0.68,1.0,1.21,0.736,1.585
2025-03-16 13:29:56,base,34.1519666,-77.8668304,0,280.9293,0.286,3D FIX,0,0,0.0,0.0,0.0,2.35,4.393
2025-03-16 13:29:57,rover,34.1519432,-77.8667974,0,280.6093,0.245,RTK_FLOAT,19,26,0.68,1.0,1.21,0.649,1.512
2025-03-16 13:29:57,base,34.1519647,-77.8668324,0,281.987,0.205,3D FIX,0,0,0.0,0.0,0.0,2.29,4.315
2025-03-16 13:29:58,rover,34.1519424,-77.8668022,0,281.0393,0.037,RTK_FLOAT,0,0,0.0,0.0,0.0,2.33,4.443
