Iteration 0: x=34.151977164792044, y=-77.86698268629279, yaw=-0.2110571583433766, v=0.1, steer_angle=0.0, target_idx=2, distance_to_target=0.5641261384700457, cte=-0.0000, heading_error=0.00°
Iteration 29: x=34.15199929268285, y=-77.86697358678374, yaw=1.4690514073704455, v=1.2187555360642512, steer_angle=-0.5060349242827561, target_idx=8, distance_to_target=1.0627789901639326, cte=-0.6968, heading_error=-1.27°
Iteration 30: x=34.15199940411808, y=-77.86697226788135, yaw=1.677940065937844, v=1.2178177592610386, steer_angle=0.5193934781679044, target_idx=9, distance_to_target=0.9404315362735869, cte=-0.5901, heading_error=10.30°
Iteration 31: x=34.151999286877746, y=-77.86697095068945, yaw=1.854312291734673, v=1.2169268712979866, steer_angle=0.450043126696137, target_idx=9, distance_to_target=1.3023637440685092, cte=-0.8208, heading_error=10.89°
Iteration 32: x=34.15199897033077, y=-77.86696963786672, yaw=1.7656307268879214, v=1.2560805277330873, steer_angle=-0.23113355735964727, target_idx=9, distance_to_target=1.1842605157940185, cte=-0.6987, heading_error=2.03°
Iteration 33: x=34.15199875173669, y=-77.86696829932052, yaw=1.8888452584962405, v=1.2532765013464329, steer_angle=0.3166838289644831, target_idx=9, distance_to_target=1.058850483401005, cte=-0.5745, heading_error=7.68°
Iteration 34: x=34.15199838813978, y=-77.86696696477959, yaw=1.8506715126431732, v=1.2906126762791112, steer_angle=-0.09827573064219855, target_idx=10, distance_to_target=0.9357683947247837, cte=-0.4496, heading_error=1.93°
Iteration 35: x=34.15199806808414, y=-77.86696561918308, yaw=2.0377168411126454, v=1.2860820424651558, steer_angle=0.45140870572648845, target_idx=10, distance_to_target=1.3315051614182478, cte=-0.8070, heading_error=10.58°
Iteration 36: x=34.15199754828442, y=-77.8669643731593, yaw=1.9338035251421897, v=1.281777940341898, steer_angle=-0.26392827888955694, target_idx=10, distance_to_target=1.2073665858168259, cte=-0.6797, heading_error=1.31°
Iteration 37: x=34.15199713955393, y=-77.86696307286559, yaw=2.0757900470322443, v=1.2776890433248032, steer_angle=0.3547539954535239, target_idx=10, distance_to_target=1.079598231136071, cte=-0.5512, heading_error=7.92°
Iteration 38: x=34.1519965669222, y=-77.86696182114017, yaw=2.0247231737772973, v=1.313804591158563, steer_angle=-0.12884707411291585, target_idx=11, distance_to_target=0.9549399849377554, cte=-0.4238, heading_error=1.34°
Iteration 39: x=34.151996034358625, y=-77.86696050215733, yaw=2.0818066858260154, v=1.3481143616006348, steer_angle=0.14021786072859455, target_idx=11, distance_to_target=1.3599974295639115, cte=-0.8241, heading_error=6.88°
Iteration 40: x=34.151995426027376, y=-77.86695919108824, yaw=2.0989132675804285, v=1.380708643520603, steer_angle=0.0412755822968493, target_idx=11, distance_to_target=1.2280368771087182, cte=-0.6914, heading_error=4.85°
Iteration 41: x=34.15199478516878, y=-77.86695786366892, yaw=2.1557943550820573, v=1.411673211344573, steer_angle=0.1335122659235487, target_idx=11, distance_to_target=1.0919522961453105, cte=-0.5550, heading_error=5.07°
Iteration 42: x=34.15199408816114, y=-77.8669565920274, yaw=2.3806440840250316, v=1.4010895507773442, steer_angle=0.49120749666826635, target_idx=12, distance_to_target=0.9530149530593763, cte=0.4164, heading_error=3.27°
Iteration 43: x=34.15199318062706, y=-77.86695554773303, yaw=2.2205591685292037, v=1.391035073238477, steer_angle=-0.3662986043849512, target_idx=12, distance_to_target=1.3509436398758463, cte=0.8144, heading_error=-9.26°
Iteration 44: x=34.15199242765942, y=-77.86695435026249, yaw=2.350430813368442, v=1.3814833195765532, steer_angle=0.3036707146835442, target_idx=12, distance_to_target=1.2119945122373461, cte=0.6753, heading_error=-0.52°
Iteration 45: x=34.151991558442816, y=-77.86695328773666, yaw=2.2071417290652806, v=1.3724091535977256, steer_angle=-0.3349127022003325, target_idx=12, distance_to_target=1.0740788149876141, cte=0.5377, heading_error=-7.37°
Iteration 46: x=34.151990806897196, y=-77.86695205863644, yaw=2.319250275210046, v=1.4037886959178394, steer_angle=0.26017104891305354, target_idx=13, distance_to_target=0.9367098118189447, cte=0.4002, heading_error=0.55°
Iteration 47: x=34.15198992800177, y=-77.86695091507138, yaw=2.2796914934520323, v=1.4335992611219475, steer_angle=-0.0917220162663997, target_idx=13, distance_to_target=1.3334848488395055, cte=0.7969, heading_error=-5.88°
Iteration 48: x=34.15198907061177, y=-77.86694970699621, yaw=2.2885334461537625, v=1.4619192980658502, steer_angle=0.020157872983424197, target_idx=13, distance_to_target=1.1898739070859543, cte=0.6533, heading_error=-3.68°
Iteration 49: x=34.1519881884749, y=-77.86694848606588, yaw=2.2536084271904837, v=1.4888233331625578, steer_angle=-0.07803500002210528, target_idx=13, distance_to_target=1.043459885846881, cte=0.5070, heading_error=-3.96°
Iteration 50: x=34.15198732762757, y=-77.86694720707291, yaw=2.2683129066185326, v=1.51438216650443, steer_angle=0.03235499441773898, target_idx=14, distance_to_target=0.8943370149382489, cte=0.3582, heading_error=-1.74°
Iteration 51: x=34.15198643725971, y=-77.86694592325446, yaw=2.316861774959019, v=1.5386630581792085, steer_angle=0.10479017939364371, target_idx=14, distance_to_target=1.2795396389365683, cte=0.7429, heading_error=-2.96°
Iteration 52: x=34.15198548227647, y=-77.86694467472132, yaw=2.234128439199671, v=1.561729905270248, steer_angle=-0.17478297347151384, target_idx=14, distance_to_target=1.125508403029041, cte=0.5891, heading_error=-5.43°
Iteration 53: x=34.15198460378841, y=-77.86694331629741, yaw=2.304185509906115, v=1.5836434100067356, steer_angle=0.1464046174547369, target_idx=15, distance_to_target=0.9690521302116879, cte=0.4327, heading_error=-0.70°
Iteration 54: x=34.15198363620963, y=-77.86694201867748, yaw=2.2833341352126806, v=1.6044612395063989, steer_angle=-0.04329250990029038, target_idx=15, distance_to_target=1.3475224948852855, cte=0.8110, heading_error=-4.91°
Iteration 55: x=34.15198267958273, y=-77.86694068067008, yaw=2.2783656291215815, v=1.6242381775310788, steer_angle=-0.010196234308587682, target_idx=15, distance_to_target=1.18678056561216, cte=0.6503, heading_error=-3.66°
Iteration 56: x=34.15198171746725, y=-77.86693932139237, yaw=2.2593802236577547, v=1.643026268654525, steer_angle=-0.038498116644609115, target_idx=15, distance_to_target=1.024116791577783, cte=0.4879, heading_error=-3.12°
Iteration 57: x=34.151980766662156, y=-77.86693792528509, yaw=2.265423449803647, v=1.6608749552217987, steer_angle=0.012128004835902512, target_idx=16, distance_to_target=0.8596337401994822, cte=0.3240, heading_error=-1.62°
Iteration 58: x=34.15197979911433, y=-77.86693652196453, yaw=2.3141267004140587, v=1.677831207460709, steer_angle=0.09645807240580453, target_idx=16, distance_to_target=1.2300749029736, cte=0.6936, heading_error=-2.49°
